"zipcode" "percentile" "superzip" "rank" "city" "state" "adultpop" "households" "college" "income."
"7423" 99.50485 1 83 "Ho Ho Kus" "NJ" 2776 1192 "68.34%" 189.063
"10804" 99.50142 1 84 "New Rochelle" "NY" 9745 4033 "70.02%" 186.023
"20817" 99.49184 1 85 "Bethesda" "MD" 25142 10177 "77.43%" 172.426
"94563" 99.48149 1 86 "Orinda" "CA" 12604 5358 "74.54%" 175.343
"11030" 99.47478 1 87 "Manhasset" "NY" 11864 4789 "63.16%" 194.531
"20008" 99.46548 1 88 "Washington" "DC" 21998 4687 "81.58%" 162.324
"60601" 99.4581 1 89 "Chicago" "IL" 4918 1318 "71.31%" 179.872
"94123" 99.45113 1 90 "San Francisco" "CA" 20475 4020 "74.45%" 174.218
"22039" 99.44225 1 91 "Fairfax Station" "VA" 11824 5395 "68.79%" 183.598
"10546" 99.43877 1 92 "Millwood" "NY" 825 349 "70.91%" 179.044
"10004" 99.43828 1 93 "New York" "NY" 1020 221 "75.98%" 170.258
"90049" 99.43073 1 94 "Los Angeles" "CA" 26487 7837 "70.03%" 180.376
"7945" 99.42176 1 95 "Mendham" "NJ" 6166 2565 "67.56%" 184.525
"85253" 99.41657 1 96 "Paradise Valley" "AZ" 12735 5188 "64.68%" 189.459
"28378" 99.41306 1 NA "Rex" "NC" 27 16 "22.22%" 261.521
"90210" 99.40857 1 97 "Beverly Hills" "CA" 16357 5773 "55.46%" 203.444
"22182" 99.3998 1 98 "Vienna" "VA" 15588 6486 "72.90%" 173.294
"63005" 99.39265 1 99 "Chesterfield" "MO" 10435 4721 "66.51%" 183.43
"10007" 99.38902 1 100 "New York" "NY" 2814 563 "56.89%" 199.713
"27706" 99.38821 1 NA "Durham" "NC" 97 42 "65.98%" 184.052
"10504" 99.38691 1 101 "Armonk" "NY" 4651 2029 "60.65%" 193.171
"20015" 99.38238 1 102 "Washington" "DC" 11879 3530 "68.41%" 179.754
"60523" 99.37699 1 103 "Oak Brook" "IL" 7761 2741 "54.59%" 202.606
"77046" 99.37475 1 NA "Houston" "TX" 423 121 "74.23%" 168.754
"6878" 99.37325 1 104 "Riverside" "CT" 5044 2087 "65.07%" 184.175
"94708" 99.36956 1 105 "Berkeley" "CA" 8386 2910 "81.58%" 155.689
"66221" 99.36631 1 106 "Overland Park" "KS" 3446 1678 "72.66%" 171.024
"10005" 99.36517 1 107 "New York" "NY" 703 119 "74.68%" 167.23
"78746" 99.36043 1 108 "Austin" "TX" 16567 6922 "75.54%" 165.729
"10580" 99.35277 1 109 "Rye" "NY" 11312 4488 "68.06%" 178.203
"1776" 99.3467 1 110 "Sudbury" "MA" 10824 4836 "71.89%" 170.509
"48302" 99.34042 1 111 "Bloomfield Hills" "MI" 12025 4926 "65.59%" 180.694
"30305" 99.33241 1 112 "Atlanta" "GA" 17148 4424 "69.33%" 173.977
"2482" 99.3258 1 113 "Wellesley" "MA" 6955 2688 "71.04%" 170.966
"11724" 99.32334 1 114 "Cold Spring Harbor" "NY" 1994 859 "66.15%" 179.003
"77094" 99.32156 1 115 "Houston" "TX" 4507 2179 "73.97%" 164.437
"7842" 99.32031 1 NA "Hibernia" "NJ" 47 24 "68.09%" 174.378
"94707" 99.31781 1 116 "Berkeley" "CA" 9059 3332 "79.98%" 153.797
"2110" 99.31499 1 117 "Boston" "MA" 1246 309 "76.73%" 159.159
"20896" 99.31451 1 NA "Garrett Park" "MD" 429 178 "77.62%" 156.026
"19009" 99.3144 1 NA "Bryn Athyn" "PA" 51 20 "82.35%" 147.1
"91108" 99.31192 1 118 "San Marino" "CA" 8927 3789 "70.25%" 167.795
"19807" 99.30789 1 119 "Wilmington" "DE" 5755 2164 "65.40%" 176.085
"10023" 99.29218 1 120 "New York" "NY" 51494 11604 "73.32%" 162.015
"20036" 99.27712 1 121 "Washington" "DC" 3352 374 "83.74%" 143.824
"1451" 99.2753 1 122 "Harvard" "MA" 3313 1457 "75.85%" 157
"7920" 99.26969 1 123 "Basking Ridge" "NJ" 17129 6477 "66.86%" 172.103
"60611" 99.25861 1 124 "Chicago" "IL" 23272 5584 "73.46%" 160.488
"2459" 99.24898 1 125 "Newton Center" "MA" 11790 4518 "73.54%" 160.14
"19066" 99.24465 1 126 "Merion Station" "PA" 3951 1526 "76.69%" 154.315
"60091" 99.2386 1 127 "Wilmette" "IL" 18124 7640 "72.89%" 160.565
"66211" 99.23294 1 128 "Leawood" "KS" 2465 971 "66.65%" 170.917
"48301" 99.22941 1 129 "Bloomfield Hills" "MI" 10413 4460 "68.29%" 167.731
"77024" 99.22011 1 130 "Houston" "TX" 23477 9133 "68.02%" 167.686
"60606" 99.21332 1 131 "Chicago" "IL" 1273 350 "80.60%" 145.943
"63131" 99.20985 1 132 "Saint Louis" "MO" 11381 4971 "67.85%" 167.516
"90274" 99.20181 1 133 "Palos Verdes Peninsula" "CA" 17933 7617 "66.21%" 170.297
"19041" 99.19572 1 134 "Haverford" "PA" 4241 1422 "73.17%" 158.279
"6903" 99.1918 1 135 "Stamford" "CT" 10066 4222 "68.32%" 166.371
"19421" 99.18901 1 NA "Birchrunville" "PA" 62 33 "75.81%" 153.435
"6831" 99.18604 1 136 "Greenwich" "CT" 10758 4109 "56.83%" 185.262
"22181" 99.18039 1 137 "Vienna" "VA" 9842 4085 "68.49%" 165.135
"35223" 99.17561 1 138 "Birmingham" "AL" 7558 3249 "74.48%" 154.656
"6490" 99.17271 1 139 "Southport" "CT" 3002 1164 "61.73%" 176.556
"94705" 99.16934 1 140 "Berkeley" "CA" 9252 2626 "76.35%" 151.199
"11797" 99.16505 1 141 "Woodbury" "NY" 6411 2317 "58.01%" 182.543
"7458" 99.16124 1 142 "Saddle River" "NJ" 7482 3207 "60.10%" 178.926
"20004" 99.15899 1 143 "Washington" "DC" 674 118 "68.99%" 163.4
"92625" 99.15588 1 144 "Corona del Mar" "CA" 10728 3493 "64.71%" 170.41
"11020" 99.15217 1 145 "Great Neck" "NY" 2773 1178 "67.22%" 166.048
"20194" 99.14893 1 146 "Reston" "VA" 9042 3437 "75.03%" 152.352
"22957" 99.14643 1 NA "Montpelier Station" "VA" 28 14 "57.14%" 183.06
"35649" 99.14642 1 NA "Mooresville" "AL" 46 17 "60.87%" 176.63
"6877" 99.14211 1 147 "Ridgefield" "CT" 15682 6638 "65.88%" 167.136
"7928" 99.13438 1 148 "Chatham" "NJ" 12420 5073 "66.88%" 165.389
"10526" 99.13068 1 149 "Goldens Bridge" "NY" 1094 455 "70.02%" 159.4
"10017" 99.12652 1 150 "New York" "NY" 14064 2742 "73.99%" 152.385
"60305" 99.12067 1 151 "River Forest" "IL" 7237 2948 "69.70%" 159.729
"10128" 99.10585 1 152 "New York" "NY" 46757 12049 "73.83%" 152.017
"6612" 99.09166 1 153 "Easton" "CT" 4939 2079 "59.55%" 176.597
"10527" 99.09011 1 154 "Granite Springs" "NY" 704 312 "71.59%" 155.484
"37350" 99.08952 1 155 "Lookout Mountain" "TN" 1408 606 "71.16%" 155.681
"94305" 99.08792 1 156 "Stanford" "CA" 4498 1300 "94.49%" 115.419
"7417" 99.08479 1 157 "Franklin Lakes" "NJ" 6885 2952 "52.94%" 186.895
"76092" 99.07948 1 158 "Southlake" "TX" 12412 5892 "58.71%" 176.893
"11765" 99.07595 1 NA "Mill Neck" "NY" 480 187 "52.08%" 187.976
"12507" 99.07578 1 NA "Barrytown" "NY" 170 11 "68.82%" 159.099
"7979" 99.07565 1 NA "Pottersville" "NJ" 260 137 "66.92%" 162.368
"94941" 99.06966 1 159 "Mill Valley" "CA" 21599 7359 "71.53%" 154.088
"66209" 99.06036 1 160 "Leawood" "KS" 12276 5289 "67.62%" 160.509
"90266" 99.05013 1 161 "Manhattan Beach" "CA" 24974 8449 "67.61%" 160.422
"20124" 99.04073 1 162 "Clifton" "VA" 9298 4075 "65.43%" 162.869
"7620" 99.03786 1 163 "Alpine" "NJ" 1129 450 "61.38%" 169.798
"98222" 99.03754 1 NA "Blakely Island" "WA" 33 9 "81.82%" 133.72
"7450" 99.03304 1 164 "Ridgewood" "NJ" 16407 6825 "66.75%" 159.328
"75093" 99.02061 1 165 "Plano" "TX" 28861 11991 "64.33%" 163.255
"94304" 99.01231 1 166 "Palo Alto" "CA" 1407 410 "79.39%" 136.973
"10014" 99.0041 1 167 "New York" "NY" 28445 4763 "74.39%" 145.505
"38139" 98.9938 1 168 "Germantown" "TN" 9077 4241 "65.81%" 160.103
"18357" 98.99128 1 NA "Skytop" "PA" 93 10 "43.01%" 199.197
"7760" 98.98946 1 169 "Rumson" "NJ" 6554 2560 "58.85%" 171.902
"48304" 98.98427 1 170 "Bloomfield Hills" "MI" 12380 4994 "64.81%" 161.509
"94549" 98.97626 1 171 "Lafayette" "CA" 16806 6806 "66.64%" 158.291
"2461" 98.97039 1 172 "Newton Highlands" "MA" 4538 1861 "72.79%" 146.664
"22207" 98.96333 1 173 "Arlington" "VA" 21227 7606 "70.52%" 150.457
"92091" 98.95721 1 174 "Rancho Santa Fe" "CA" 1044 430 "70.59%" 149.683
"21210" 98.95469 1 175 "Baltimore" "MD" 8128 2461 "74.38%" 142.999
"90743" 98.95244 1 NA "Surfside" "CA" 109 44 "66.97%" 155.695
"7930" 98.95096 1 176 "Chester" "NJ" 5264 2157 "61.21%" 165.538
"8540" 98.9418 1 177 "Princeton" "NJ" 28123 10147 "71.39%" 147.761
"60035" 98.92835 1 178 "Highland Park" "IL" 20830 8676 "64.02%" 160.25
"92130" 98.91756 1 179 "San Diego" "CA" 18529 7503 "72.96%" 144.77
"6269" 98.91236 1 NA "Storrs Mansfield" "CT" 403 38 "84.86%" 124.22
"30326" 98.91203 1 180 "Atlanta" "GA" 838 177 "76.37%" 138.83
"91011" 98.90812 1 181 "La Canada Flintridge" "CA" 13382 5847 "63.67%" 160.361
"50323" 98.9043 1 182 "Urbandale" "IA" 561 255 "54.72%" 175.686
"92014" 98.90118 1 183 "Del Mar" "CA" 10782 3875 "71.40%" 146.915
"1772" 98.89675 1 184 "Southborough" "MA" 5343 2322 "64.48%" 158.669
"95120" 98.88841 1 185 "San Jose" "CA" 25071 10867 "60.87%" 164.849
"33146" 98.87959 1 186 "Miami" "FL" 7062 2701 "67.79%" 152.778
"95480" 98.87765 1 NA "Stewarts Point" "CA" 17 7 "29.41%" 218.429
"94065" 98.87546 1 187 "Redwood City" "CA" 7967 2939 "66.00%" 155.282
"1719" 98.87241 1 188 "Boxborough" "MA" 3115 1296 "72.13%" 144.58
"20814" 98.86617 1 189 "Bethesda" "MD" 19616 5903 "75.42%" 138.531
"2492" 98.85716 1 190 "Needham" "MA" 13178 5330 "68.95%" 149.495
"94556" 98.8506 1 191 "Moraga" "CA" 10725 4409 "67.39%" 152.11
"1778" 98.84517 1 192 "Wayland" "MA" 9075 3754 "68.48%" 150.087
"8858" 98.84264 1 NA "Oldwick" "NJ" 138 63 "58.70%" 166.912
"22213" 98.84206 1 193 "Arlington" "VA" 1943 690 "74.11%" 140.302
"81656" 98.84145 1 NA "Woody Creek" "CO" 286 70 "65.03%" 155.923
"20862" 98.8413 1 NA "Brinklow" "MD" 255 108 "62.75%" 159.161
"2421" 98.83808 1 194 "Lexington" "MA" 11480 4564 "68.78%" 148.6
"93108" 98.83241 1 195 "Santa Barbara" "CA" 9129 3322 "63.37%" 157.883
"7924" 98.82852 1 196 "Bernardsville" "NJ" 5102 2075 "59.35%" 164.696
"22102" 98.82337 1 197 "McLean" "VA" 13684 4711 "72.64%" 141.763
"94618" 98.81625 1 198 "Oakland" "CA" 12280 3694 "74.09%" 139.247
"94904" 98.81033 1 199 "Greenbrae" "CA" 9273 3195 "63.42%" 157.623
"7028" 98.80645 1 200 "Glen Ridge" "NJ" 4846 2042 "64.55%" 155.14
"22027" 98.80481 1 201 "Dunn Loring" "VA" 1125 394 "63.73%" 155.995
"10536" 98.8026 1 202 "Katonah" "NY" 6951 2831 "58.48%" 165.028
"1742" 98.79735 1 203 "Concord" "MA" 12102 4451 "66.10%" 151.75
"59636" 98.79404 1 NA "Fort Harrison" "MT" 24 6 "70.83%" 143.448
"3750" 98.79387 1 204 "Etna" "NH" 600 255 "77.33%" 131.655
"92660" 98.78767 1 205 "Newport Beach" "CA" 21992 7883 "60.52%" 160.56
"78733" 98.78012 1 206 "Austin" "TX" 5472 2422 "69.65%" 144.593
"77056" 98.77555 1 207 "Houston" "TX" 11213 3334 "64.50%" 153.465
"77059" 98.76967 1 208 "Houston" "TX" 10253 4714 "71.24%" 141.76
"1921" 98.76546 1 209 "Boxford" "MA" 5016 2253 "62.82%" 156.246
"16155" 98.76405 1 NA "Villa Maria" "PA" 122 5 "18.85%" 231.917
